  Source.cpp
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(4): warning C4305: 'argument': truncation from 'double' to 'GLclampf'
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(25): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(102): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(110): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(111): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(112): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(114): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(118): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(119): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(121): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(122): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
  openGL_gamemap.vcxproj -> C:\Users\lenovo\documents\visual studio 2015\Projects\openGL_gamemap\Debug\openGL_gamemap.exe
  openGL_gamemap.vcxproj -> C:\Users\lenovo\documents\visual studio 2015\Projects\openGL_gamemap\Debug\openGL_gamemap.pdb (Partial PDB)
